10384180;88217025;FT 36743 A SUBA;22/03/2017;FTS-6B;COL-CUN-BOG-SUB-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;28/02/2017;;0;0;0;PM02;31;C002;ACTI;28/02/2017;01/02/2017
10384181;88217025;FT 36747 A SUBA;22/03/2017;FTS-6B;COL-CUN-BOG-SUB-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;28/02/2017;;0;0;0;PM02;31;C002;ACTI;28/02/2017;01/02/2017
10384196;88217025;FT 36756 SUBA;22/03/2017;FTS-6B;COL-CUN-BOG-SUB-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;28/02/2017;;0;0;0;PM02;31;C002;ACTI;28/02/2017;01/02/2017
10384199;88217025;FT 36365/66 ENGATIVA;21/03/2017;FTS-6B;COL-CUN-BOG-ENG-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;01/02/2017;;0;0;0;PM02;31;C002;ACTI;01/02/2017;01/02/2017
10384200;88217025;FT 36373/74 ENGATIVA;21/03/2017;FTS-6B;COL-CUN-BOG-ENG-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;01/02/2017;;0;0;0;PM02;31;C002;ACTI;01/02/2017;01/02/2017
10384202;88217025;FT 36341B ENGATIVA;21/03/2017;FTS-6B;COL-CUN-BOG-ENG-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;01/02/2017;;0;0;0;PM02;31;C002;ACTI;01/02/2017;01/02/2017
10384206;88217025;FT 36330B ENGATIVA;21/03/2017;FTS-6B;COL-CUN-BOG-ENG-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;01/02/2017;;0;0;0;PM02;31;C002;ACTI;01/02/2017;01/02/2017
10384207;88217025;FT 36332 ESTRADA;21/03/2017;FTS-6B;COL-CUN-BOG-ENG-R-HF;PREV-HFC-BOG;CTEC NOTP DMNV KKMP NLIQ PREC;01/02/2017;;0;0;0;PM02;31;C002;ACTI;01/02/2017;01/02/2017
10385299;79592801;CTRL PISO RUIDO EL SILENCIO 1 CLS 38511;29/03/2017;;COL-ATL-BAQ-NOG-R-HF;;CTEC NOTP CEST DMNV EDET KKMP NLIQ PREC;18/02/2017;;0;0;0;PM02;19;C005;ACTI;28/02/2017;01/02/2017
10385400;79592801;FUENTES - NODO CORALES 22009 PSB;30/03/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;10/03/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385401;79592801;FUENTES - NODO CASTILLO GRANDE 22015 B;31/03/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;21/02/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385403;79592801;FUENTES - NODO CENTRO 22016 PSC;01/04/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;13/02/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385406;79592801;FUENTES - NODO CENTRAL 22038 PSA;31/03/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;28/02/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385407;79592801;FUENTES - NODO CENTRAL 22038 PSA;02/04/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;15/03/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385408;79592801;FUENTES - NODO CENTRAL 22038 PSB;02/04/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;14/03/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
10385410;79592801;FUENTES - NODO BOSQUE 2 22040 PSB;31/03/2017;HFC-6B;COL-BOL-CTG-BOS-R-HF;;CTEC NOTP CEST DMNV KKMP NLIQ PREC;28/02/2017;;0;0;0;PM02;31;C005;ACTI;28/02/2017;16/02/2017
